,Usuario,Nombre,Fecha,Tweet,RT,like,path,verificados
842,@sjbrinley,Stephanie Brinley,26 ene. 2017,"Conversations that won't end well on Twitter: GMO, vaccinations, Oxford comma, politics, tabs or spaces, organic",0,0,/sjbrinley/status/824650715218006016,
843,@tomwoods55,Tom Woods,26 ene. 2017,#CATASTROPHIC IDEA #Globalist Bill Gates Vows To Fast-Track UNTESTED ON HUMANS #GMO ‘DNA Vaccine’' http://ln.is/uxmj6Wc,0,0,/tomwoods55/status/824471083843739649,
844,@ClaudiaHirawat,Claudia Hirawat,26 ene. 2017,"Exciting! There could be vaccine booths, GMO enhanced snacks, lessons on how to read the label of a drug! Oh this could be awesome! https://twitter.com/cnn/status/824423109184909313 …",1,1,/ClaudiaHirawat/status/824462685400158208,
845,@Zenhaling,Zenhaling,26 ene. 2017,"New Documentary Film, Autism: State Of The Union https://youtu.be/4PW5Z1qMpQ8   Vaccine Ingredients and GMO and Glyphosate  #autism",0,0,/Zenhaling/status/824448909716156418,
846,@aol_sd,adela sapien,25 ene. 2017,"@DonaldTrump take fluoride out of our water, get rid of gmo seeds and forced vaccinations. these will affect your children too.",0,0,/aol_sd/status/824330981406449664,
847,@scopedbylarry,Larry Lynam,25 ene. 2017,Vaccine W/ Genetically Modified Malaria Parasite To Prevent Mosquitoes Bitting An Infected Person under development http://www.latinpost.com/articles/132733/20170123/scientist-develop-vaccine-genetically-modified-malaria-parasite-prevent-mosquitoes-bitting.htm …,0,0,/scopedbylarry/status/824267988354400256,
848,@RealChiMachine,RealChiMachine,25 ene. 2017,"Absolutely.  Big Pharma has pushed illness itself as a 'vaccine deficiency.'  Children need non #GMO food, exercise outdoors, to be healthy https://twitter.com/LotusOak/status/824246585789923328 …",1,1,/RealChiMachine/status/824257018420744192,
849,@dxguy7,Don Allen,24 ene. 2017,"I'd give it some time and you will find that Trump will expose GMO's, Vaccine ""science"" and the entire sham of Big Pharma. https://twitter.com/kierobar/status/824027091729420288 …",0,0,/dxguy7/status/824029582726746113,
850,@BossBueller,🌐 Dr. Manhattan  🌐,24 ene. 2017,#Overstand usda & epa has crushed any research about vaccine damage and GMO food for decades #TruthCantBeSilencedAnymore no spin,0,2,/BossBueller/status/823994199313883138,
851,@dps1879,Homeopathicredpill,24 ene. 2017,who knows?   That fool is outspoken on every nwo agenda from education to vaccine to gmo.  All want a piece of him. #gatekeeper,0,0,/dps1879/status/823988878281359360,
852,@SameAgeDay,Same Age Day,24 ene. 2017,#Science http://ift.tt/2iQQnGo  Scientists want to use a genetically modified malaria parasite as a vaccine against the disease,0,0,/SameAgeDay/status/823892136357720065,
853,@ammies99,Ammies,24 ene. 2017,"Must read no gmo, no flouride in toothpaste,no vaccine wit mercury,no canola oil @PMOIndia @narendramodi @JS_Nigeriahttps://youtu.be/Pxx_9HRG-m8",0,1,/ammies99/status/823737517773991937,
854,@Metztli_IT,Jose R Rodriguez,24 ene. 2017,#SnakeOil peddler first shoved #Microsoft #Windows malware down the gullible$' throat capturing market; now peddle$ GMO$ & patented vaccine$ https://twitter.com/businessinsider/status/823728031717937152 …,0,0,/Metztli_IT/status/823730122628866048,
855,@AndreBrantley,Andre Brantley,23 ene. 2017,"Yo Boy OBAMA..Granted CDC & MONSANTO ""FULL PROTECTION""...in the MASSIVE Use of GMO FOODS and VACCINE'S to KILL... http://fb.me/14D8daSl7",0,0,/AndreBrantley/status/823672893284450308,
856,@SameAgeDay,Same Age Day,23 ene. 2017,"#Futurology http://ift.tt/2iQQnGo  Scientists want to use a genetically modified malaria parasite as a vaccine against the disease - ""in …",0,0,/SameAgeDay/status/823582979863756804,
857,@greg_folkers,Greg Folkers,23 ene. 2017,Science Friday @PRI  Scientists want to use a genetically modified #malaria parasite as a vaccine against  disease http://bit.ly/2k6ru6g,1,0,/greg_folkers/status/823369114370658304,
858,@MicrobesInfect,Microbes&Infection,22 ene. 2017,Scientists want to use a genetically modified #Plasmodium as a #vaccine against #malariahttps://www.pri.org/stories/2017-01-22/scientists-want-use-genetically-modified-malaria-parasite-vaccine-against-disease …,15,10,/MicrobesInfect/status/823267312132198400,
859,@pritheworld,PRI's The World,22 ene. 2017,Scientists want to use a genetically modified malaria parasite as a vaccine against the disease http://s.pri.org/EKsMy2M pic.twitter.com/OsavssdvdX,3,0,/pritheworld/status/823183747621261312,Usuario Verificado
860,@queenAyacodoba1,queen Ayacodobae,22 ene. 2017,"Truth never lied; wish it was a lie that we are being exterminated by police, vaccinations GMO poverty mass incarceration perverts kidnaps https://twitter.com/True_Pharaoh/status/823131661177159680 …",0,0,/queenAyacodoba1/status/823133607489404928,
861,@petesteri,Pe-St,22 ene. 2017,Why doesnt #WomensMarch stand up and fight for their childrens future? Fight GMO forced vaccine sterilisation chemtrails ect affects all.,0,0,/petesteri/status/823114353524273152,
862,@KindOrgone,KindOrgone,22 ene. 2017,Radioactive Isotopes & Plutonium Intentionally Given to Unknowing Americans as People Deny Possibility of #Chemtrails #Vaccine & #GMO Damage https://twitter.com/trutherbotwhite/status/823022393258102784 …,0,0,/KindOrgone/status/823024446051119110,
863,@KarmaSJustice,KarmaSJustice,21 ene. 2017,"@HeidiMurkoff keep doing good Karma, not worth resp to Monsanto Mouthpiece pro GMO/VACCINE @UF academic Kevin Foltahttp://www.motherjones.com/tom-philpott/2015/06/africa-indigenous-vegetables-superfood …",0,0,/KarmaSJustice/status/822880753973338112,
864,@FashionSpill,Nova York,21 ene. 2017,"they should march against Monsanto, GMO, Clean whater! Vaccine safety!What a bunch of fools with no real cause.",0,3,/FashionSpill/status/822871524025761795,
865,@KarmaSJustice,KarmaSJustice,21 ene. 2017,"Why is mad Science/ Pro #GMO / Vaccine,  Academic Horticulturist @UF Kevin Folta constantly conspiring against #antivaxxer ? #Autismhttps://twitter.com/NVICLoeDown/status/822542223917125632 …",1,0,/KarmaSJustice/status/822865626742067205,
866,@NLFRTA,Latino Farmers,21 ene. 2017,The New Genetically Modified Flublok Flu Vaccine https://shar.es/1OhxBJ,0,0,/NLFRTA/status/822847455272128512,
867,@_Awake_Soul_,Bob,21 ene. 2017,"vaccinations, famine, war, GMO, big pharma, health surveillance, destruction of NHS, all contribute to their wet dream to kill us",1,0,/_Awake_Soul_/status/822814811096551424,
868,@kenjaques,Ken Jaques,20 ene. 2017,"Eventually science will solve GMO, glyphosate, vaccine & other debates and will figure out how and why ""non-conventional"" medicine works. https://twitter.com/CaulfieldTim/status/822585884952379395 …",1,2,/kenjaques/status/822592070430900224,
869,@InfoWarriorGal,Susan,20 ene. 2017,"Too much GMO, Vaccinations, and Fluoride!",0,1,/InfoWarriorGal/status/822536595869933568,
870,@ksavagetexas,Karen Savage,20 ene. 2017,Vaccine Disclosure by TRUMP's TEAM of EXPERTS: http://www.rumormillnews.com/cgi-bin/forum.cgi?read=66987 … GMO Top Food Producer (Kellogg's) LAY OFFS http://www.rumormillnews.com/cgi-bin/forum.cgi?read=66982 …,0,0,/ksavagetexas/status/822476980230770690,
871,@spaceoflove07,Anne Shelley-Smith,20 ene. 2017,"THE HPV VACCINE IS GENETICALLY MODIFIED & HAS THE HIGHEST ADVERSE EFFECT OF ANY VACCINE THAT'S BEEN RELEASED? 
http://www.naturalnews.com/2017-01-17-american-college-of-pediatricians-hpv-vaccine-causes-ovarian-failure.html …",0,0,/spaceoflove07/status/822403088141033474,
872,@Behind_Reality,Behind Reality,20 ene. 2017,But what about genetically modified vaccinations?,0,0,/Behind_Reality/status/822270091928670208,
873,@BrandyCreekWay,NoorFolk,20 ene. 2017,"@MacleansMa There is a lack of trust! GMO, vaccine overloading, sky-rocketing autism...it all calls into question the integrity of our food!",0,0,/BrandyCreekWay/status/822255511773073409,
874,@okanogen2010,okanogen,19 ene. 2017,An Obama drone injected Chelsea with GMO vaccine autism trigger agent.,0,0,/okanogen2010/status/822078324834992128,
875,@Tony_Storton,Tony Storton,19 ene. 2017,"probably because they dont live on GMO food, dont drink fluoridated water and are not given countless vaccinations",0,0,/Tony_Storton/status/822041362006736896,
876,@almirathunstrom,Almira Thunström,19 ene. 2017,GMO vaccine sounds fabulous :),0,0,/almirathunstrom/status/822027717390516224,
877,@Metaviromics,Oskar Karlsson,19 ene. 2017,Let’s make a GMO vaccine! There are some promising attempts with some biotech versions. https://goo.gl/g3b3og,0,1,/Metaviromics/status/822027204133617665,
878,@PamelaDrew,PamelaDrew,19 ene. 2017,"Same flawed logic for #RussianHacking or #gmo safety or vaccine #Autism link, certainty in the absence of evidencehttps://twitter.com/nytimes/status/821956889579819008 …",1,0,/PamelaDrew/status/821976009427845120,
879,@PamelaDrew,PamelaDrew,19 ene. 2017,"Labeling #Autism vaccine link as #fakenews from @nytimes who've spent 20 years pushing claims #gmo are shown safe! 
https://twitter.com/nytimes/status/821956889579819008 …",5,3,/PamelaDrew/status/821974128207007745,
880,@vimmune,vImmune App,19 ene. 2017,"Genetically Modified #Malaria #Vaccine Has Passed an Important Hurdle
http://ow.ly/lWuE307HEJg 
#mHealth #publichealth #HIT #tweetiatricians",1,4,/vimmune/status/821949124576739330,
881,@Katmcbeez,Les Deplorable Kat,19 ene. 2017,"Make Monsanto label GMO, plz.The stuff in there is as harmful as vaccinations. They have to label abroad , why not here?",0,1,/Katmcbeez/status/821890053903450116,
882,@me_sheer_,me me,18 ene. 2017,"FDA approves 1st GMO Flu Vaccine w/Reprogrammed Insect Virus, lists risk of Guillain-Barre Syndrome as side effect http://shar.es/1Ovu6w",1,1,/me_sheer_/status/821766004287995904,
883,@DrThomasPaul,"Dr. Thomas Paul, Therapist. #MindBody",18 ene. 2017,"American College of #Pediatricians warns: #HPV #vaccine causes ovarian failure
#CDC=#FAKE #BigPharma #vaxxed #gmo
http://www.naturalnews.com/2017-01-17-american-college-of-pediatricians-hpv-vaccine-causes-ovarian-failure.html …",8,11,/DrThomasPaul/status/821761235821527041,
884,@reneefranks,Renée Franks,18 ene. 2017,what vaccine do you prefer your GMO tomatoes to be dipped in? @ScatterSub @coloradoan,0,0,/reneefranks/status/821538864393289728,
885,@modemac,modemac,18 ene. 2017,#vaccinations #vaccineswork #GMO @Voices4Vaccines @GMOAnswers Tick off anti-vaxxers & anti-GMO fanatics together!http://invisiverse.wonderhowto.com/news/genetically-modified-parasites-could-save-people-from-malaria-0175786/ …,1,1,/modemac/status/821531061540810752,
886,@TeselaGen,TeselaGen Biotech,18 ene. 2017,A Genetically Modified Malaria Vaccine Has Passed an Important Hurdle https://www.technologyreview.com/s/603304/a-genetically-modified-malaria-vaccine-has-passed-an-important-hurdle/ …,1,2,/TeselaGen/status/821519726627033088,
887,@denasd,dena d,17 ene. 2017,More Bought Science Big Sugar’s Secret Ally? Nutritionists - The New York Times #GMO #Vaccine #pesticideshttps://www.nytimes.com/2017/01/13/opinion/sunday/big-sugars-secret-ally-nutritionists.html?mabReward=A6&recp=1&action=click&pgtype=Homepage&region=CColumn&module=Recommendation&src=rechp&WT.nav=RecEngine&_r=0 …,0,0,/denasd/status/821431187117932544,
888,@jkoyanagi,J Koyanagi | 小柳ジェイ,16 ene. 2017,"""Bill Nye's Netflix series...will look at...vaccinations, genetically modified foods and climate change.""
https://goo.gl/UECiWF",1,4,/jkoyanagi/status/821042019476836352,
889,@VaxCalc,Vaccine Calculator  ♥,16 ene. 2017,Excellent shredding of GMO propaganda by @nntaleb - note GMO risks sound similar to vaccine risks (many unknowns) pic.twitter.com/9ika1od1gQ,4,2,/VaxCalc/status/821030026258870273,
890,@westernlvr,LadyHawke~,16 ene. 2017,I defend your right for vaccinations and GMO laden food~respect my choices.,1,1,/westernlvr/status/820972447524646912,
891,@shanique_geiger,GeigerMooreStiches,16 ene. 2017,"vaccinations
elf
gmo
chemtrails
blubeam
haarp
flouride
msg
soy
rfid
clonning
robotoids 
synthetics
terrestrials
transgenders
pharmaceutical",0,1,/shanique_geiger/status/820791264245379073,
892,@CivilUnrest21,JackStraw,14 ene. 2017,No #GMO's No #vaccine #Globalist Playbook #AGENDA21 #NWO #Wakeup  #BigPharma  #takebackAMerica #Maga #libtards #fakeNews @cNN  #propanganahttps://twitter.com/AnonymTipster/status/820375485355958272 …,1,2,/CivilUnrest21/status/820384580503007232,
893,@MNGeoEnginEring,MN Geoengineering,14 ene. 2017,"#World being #Poisoned Stand #uP dont sit&pout #Rain #Air #Radiation #WeatherModification #Oil #GMO
#GEOEngineering #Fluoride #Vaccinations pic.twitter.com/Lavtd5w7qO",0,1,/MNGeoEnginEring/status/820187984326782982,
